Entity,land_use,farm,animal_feed,processing,transport,retail,packaging
Apples,0,0.2,0,0,0.1,0,0
Bananas,0,0.3,0,0.1,0.3,0,0.1
Barley,0,0.2,0,0.1,0,0.3,0.5
Beef (beef herd),16.3,39.4,1.9,1.3,0.3,0.2,0.2
Beef (dairy herd),0.9,15.7,2.5,1.1,0.4,0.2,0.3
Beet Sugar,0,0.5,0,0.2,0.6,0,0.1
Berries & Grapes,0,0.7,0,0,0.2,0,0.2
Brassicas,0,0.3,0,0,0.1,0,0
Cane Sugar,1.2,0.5,0,0,0.8,0,0.1
Cassava,0.6,0.2,0,0,0.1,0,0
Cheese,4.5,13.1,2.3,0.7,0.1,0.3,0.2
Citrus Fruit,-0.1,0.3,0,0,0.1,0,0
Coffee,3.7,10.4,0,0.6,0.1,0.1,1.6
Dark Chocolate,14.3,3.7,0,0.2,0.1,0,0.4
Eggs,0.7,1.3,2.2,0,0.1,0,0.2
Fish (farmed),0.5,3.6,0.8,0,0.1,0,0.1
Groundnuts,0.4,1.4,0,0.4,0.1,0,0.1
Lamb & Mutton,0.5,19.5,2.4,1.1,0.5,0.2,0.3
Maize,0.3,0.5,0,0.1,0.1,0,0.1
Milk,0.5,1.5,0.2,0.1,0.1,0.3,0.1
Nuts,-2.1,2.1,0,0,0.1,0,0.1
Oatmeal,0,1.4,0,0,0.1,0,0.1
Olive Oil,-0.4,4.3,0,0.7,0.5,0,0.9
Onions & Leeks,0,0.2,0,0,0.1,0,0
Other Fruit,0.1,0.4,0,0,0.2,0,0
Other Pulses,0,1.1,0,0,0.1,0,0.4
Other Vegetables,0,0.2,0,0.1,0.2,0,0
Palm Oil,3.1,2.1,0,1.3,0.2,0,0.9
Peas,0,0.7,0,0,0.1,0,0
Pig Meat,1.5,1.7,2.9,0.3,0.3,0.2,0.3
Potatoes,0,0.2,0,0,0.1,0,0
Poultry Meat,2.5,0.7,1.8,0.4,0.3,0.2,0.2
Rapeseed Oil,0.2,2.3,0,0.2,0.2,0,0.8
Rice,0,3.6,0,0.1,0.1,0.1,0.1
Root Vegetables,0,0.2,0,0,0.1,0,0
Shrimps (farmed),0.2,8.4,2.5,0,0.2,0.2,0.3
Soybean Oil,3.1,1.5,0,0.3,0.3,0,0.8
Soymilk,0.2,0.1,0,0.2,0.1,0.3,0.1
Sunflower Oil,0.1,2.1,0,0.2,0.2,0,0.9
Tofu,1,0.5,0,0.8,0.2,0.3,0.2
Tomatoes,0.4,0.7,0,0,0.2,0,0.1
Wheat & Rye,0.1,0.8,0,0.2,0.1,0.1,0.1
Wine,-0.1,0.6,0,0.1,0.1,0,0.7